id,match_number,round,group,home_team_id,away_team_id,home_team_placeholder,away_team_placeholder,kickoff_utc,venue,home_score,away_score,is_finished,winner_id,home_score_final,away_score_final,m100_preds_flipped
73,73,round_of_32,,2,5,2° Grupo A,2° Grupo B,2026-06-28 19:00:00,"MetLife Stadium, East Rutherford",0,1,True,,0,1,False
89,89,round_of_16,,14,33,Ganador P74,Ganador P77,2026-07-04 21:00:00,"MetLife Stadium, East Rutherford",0,1,True,,0,1,False
90,90,round_of_16,,5,10,Ganador P73,Ganador P75,2026-07-04 17:00:00,"AT&T Stadium, Dallas",0,3,True,,0,3,False
95,95,round_of_16,,8,42,Ganador P85,Ganador P87,2026-07-07 20:00:00,"Estadio Azteca, Mexico City",0,0,True,8,0,0,False
96,96,round_of_16,,37,27,Ganador P86,Ganador P88,2026-07-07 16:00:00,"Levi's Stadium, San Jose",3,2,True,,3,2,False
74,74,round_of_32,,17,14,1° Grupo E,Mejor 3° (A/B/C/D/F),2026-06-29 20:30:00,"NRG Stadium, Houston",1,1,True,14,1,1,False
16,16,group_stage,C,9,12,,,2026-06-20 01:00:00,"Lincoln Financial Field, Philadelphia",3,0,True,,3,0,False
6,6,group_stage,A,2,3,,,2026-06-24 23:00:00,"NRG Stadium, Houston",1,0,True,,1,0,False
29,29,group_stage,E,18,17,,,2026-06-25 20:00:00,"MetLife Stadium, East Rutherford",2,1,True,,2,1,False
88,88,round_of_32,,15,27,2° Grupo D,2° Grupo G,2026-07-03 18:00:00,"Estadio Akron, Guadalajara",1,1,True,27,1,1,False
76,76,round_of_32,,9,22,1° Grupo C,2° Grupo F,2026-06-29 17:00:00,"Levi's Stadium, San Jose",2,1,True,,2,1,False
77,77,round_of_32,,33,24,1° Grupo I,Mejor 3° (C/D/F/G/H),2026-06-30 21:00:00,"Gillette Stadium, Boston",3,0,True,,3,0,False
78,78,round_of_32,,19,35,2° Grupo E,2° Grupo I,2026-06-30 17:00:00,"SoFi Stadium, Los Angeles",1,2,True,,1,2,False
101,101,sf,,33,29,Ganador P97,Ganador P98,2026-07-17 22:00:00,"MetLife Stadium, East Rutherford",0,2,True,,0,2,False
72,72,group_stage,L,46,47,,,2026-06-27 21:00:00,"Lincoln Financial Field, Philadelphia",2,1,True,,2,1,False
1,1,group_stage,A,1,2,,,2026-06-11 19:00:00,"Estadio Azteca, Mexico City",2,0,True,,2,0,False
80,80,round_of_32,,45,44,1° Grupo L,Mejor 3° (E/H/I/J/K),2026-07-01 16:00:00,"BC Place, Vancouver",2,1,True,,2,1,False
81,81,round_of_32,,13,6,1° Grupo D,Mejor 3° (B/E/F/I/J),2026-07-02 00:00:00,"Lumen Field, Seattle",2,0,True,,2,0,False
92,92,round_of_16,,1,45,Ganador P79,Ganador P80,2026-07-06 00:00:00,"SoFi Stadium, Los Angeles",2,3,True,,2,3,False
83,83,round_of_32,,41,46,2° Grupo K,2° Grupo L,2026-07-02 23:00:00,"Lincoln Financial Field, Philadelphia",2,1,True,,2,1,False
84,84,round_of_32,,29,39,1° Grupo H,2° Grupo J,2026-07-02 19:00:00,"Mercedes-Benz Stadium, Atlanta",3,0,True,,3,0,False
85,85,round_of_32,,8,38,1° Grupo B,Mejor 3° (E/F/G/I/J),2026-07-03 03:00:00,"BMO Field, Toronto",2,0,True,,2,0,False
102,102,sf,,45,37,Ganador P99,Ganador P100,2026-07-18 22:00:00,"AT&T Stadium, Dallas",1,2,True,,1,2,False
97,97,qf,,33,10,Ganador P89,Ganador P90,2026-07-14 20:00:00,"MetLife Stadium, East Rutherford",2,0,True,,2,0,False
98,98,qf,,35,45,Ganador P91,Ganador P92,2026-07-14 23:00:00,"SoFi Stadium, Los Angeles",1,2,True,,1,2,False
75,75,round_of_32,,21,10,1° Grupo F,2° Grupo C,2026-06-30 01:00:00,"AT&T Stadium, Dallas",1,1,True,10,1,1,False
87,87,round_of_32,,42,47,1° Grupo K,Mejor 3° (D/E/I/J/L),2026-07-04 01:30:00,"Rose Bowl, Pasadena",1,0,True,,1,0,False
2,2,group_stage,A,3,4,,,2026-06-12 02:00:00,"Estadio Akron, Guadalajara",2,1,True,,2,1,False
94,94,round_of_16,,41,29,Ganador P83,Ganador P84,2026-07-06 19:00:00,"Mercedes-Benz Stadium, Atlanta",0,1,True,,0,1,False
82,82,round_of_32,,25,34,1° Grupo G,Mejor 3° (A/E/H/I/J),2026-07-01 20:00:00,"Hard Rock Stadium, Miami",3,2,True,,3,2,False
