id,name,group,flag_emoji
1,Mexico,A,🇲🇽
2,South Africa,A,🇿🇦
3,South Korea,A,🇰🇷
4,Czechia,A,🇨🇿
5,Canada,B,🇨🇦
6,Bosnia-Herzegovina,B,🇧🇦
7,Qatar,B,🇶🇦
8,Switzerland,B,🇨🇭
9,Brazil,C,🇧🇷
10,Morocco,C,🇲🇦
11,Scotland,C,🏴󠁧󠁢󠁳󠁣󠁴󠁿
12,Haiti,C,🇭🇹
13,USA,D,🇺🇸
14,Paraguay,D,🇵🇾
15,Australia,D,🇦🇺
16,Türkiye,D,🇹🇷
17,Germany,E,🇩🇪
18,Ecuador,E,🇪🇨
19,Ivory Coast,E,🇨🇮
20,Curaçao,E,🇨🇼
21,Netherlands,F,🇳🇱
22,Japan,F,🇯🇵
23,Tunisia,F,🇹🇳
24,Sweden,F,🇸🇪
25,Belgium,G,🇧🇪
26,Iran,G,🇮🇷
27,Egypt,G,🇪🇬
28,New Zealand,G,🇳🇿
29,Spain,H,🇪🇸
30,Uruguay,H,🇺🇾
31,Saudi Arabia,H,🇸🇦
32,Cape Verde,H,🇨🇻
33,France,I,🇫🇷
34,Senegal,I,🇸🇳
35,Norway,I,🇳🇴
36,Iraq,I,🇮🇶
37,Argentina,J,🇦🇷
38,Algeria,J,🇩🇿
39,Austria,J,🇦🇹
40,Jordan,J,🇯🇴
41,Portugal,K,🇵🇹
42,Colombia,K,🇨🇴
43,Uzbekistan,K,🇺🇿
44,DR Congo,K,🇨🇩
45,England,L,🏴󠁧󠁢󠁥󠁮󠁧󠁿
46,Croatia,L,🇭🇷
47,Ghana,L,🇬🇭
48,Panama,L,🇵🇦
